               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02543,            0.032184,           0.0018527,              0.8748,             0.85601,             0.89879,             0.64816,            0.020349,            0.015908,          0.00095133,           0.0071125,           0.0071125,           0.0071125
                  37,            0.025049,            0.031445,           0.0018269,             0.86581,             0.84248,              0.8882,             0.63467,            0.020408,            0.015998,          0.00080454,             0.00703,             0.00703,             0.00703
                  38,            0.025016,            0.032081,           0.0017087,             0.86683,             0.83989,             0.88957,             0.63781,            0.020242,            0.015758,          0.00078335,           0.0069475,           0.0069475,           0.0069475
                  39,            0.024723,            0.030963,           0.0017091,             0.86377,             0.85182,             0.89213,             0.64332,             0.01999,            0.015932,          0.00081692,            0.006865,            0.006865,            0.006865
                  40,            0.024968,            0.031593,           0.0017541,             0.87415,             0.84541,             0.89147,             0.64192,            0.020193,            0.016013,          0.00076227,           0.0067825,           0.0067825,           0.0067825
                  41,            0.024802,            0.031968,           0.0018736,              0.8538,             0.85398,             0.89757,             0.64814,            0.019831,            0.015985,           0.0008313,              0.0067,              0.0067,              0.0067
                  42,            0.024562,             0.03095,           0.0017068,             0.87801,             0.84812,             0.89008,             0.63536,            0.020089,            0.015967,          0.00094138,           0.0066175,           0.0066175,           0.0066175
                  43,            0.024058,            0.031089,           0.0017204,             0.86756,             0.85908,             0.89437,             0.64828,            0.019824,            0.015809,          0.00087864,            0.006535,            0.006535,            0.006535
                  44,            0.024539,            0.031041,           0.0016795,             0.85507,             0.86752,             0.90487,             0.65456,            0.019557,            0.015707,          0.00075276,           0.0064525,           0.0064525,           0.0064525
                  45,            0.024044,            0.031166,           0.0016491,             0.87483,             0.85256,             0.90111,             0.64584,            0.019658,            0.016043,          0.00076541,             0.00637,             0.00637,             0.00637
                  46,            0.024233,              0.0311,           0.0016997,             0.87075,             0.86166,             0.89336,             0.64189,            0.019589,            0.015668,          0.00084953,           0.0062875,           0.0062875,           0.0062875
                  47,            0.023982,            0.030432,           0.0015791,             0.85309,             0.86358,             0.89365,             0.65858,            0.019376,            0.015773,           0.0007325,            0.006205,            0.006205,            0.006205
                  48,            0.023694,            0.030656,           0.0015378,             0.86786,             0.86465,             0.90203,             0.66929,            0.019233,            0.015646,           0.0007127,           0.0061225,           0.0061225,           0.0061225
                  49,            0.023845,            0.030489,           0.0016171,             0.87177,              0.8662,             0.90554,             0.65863,            0.019423,            0.015733,          0.00069507,             0.00604,             0.00604,             0.00604
                  50,            0.023565,            0.030992,           0.0014836,             0.89233,             0.84713,             0.90224,             0.65868,            0.019233,            0.015647,          0.00064849,           0.0059575,           0.0059575,           0.0059575
                  51,            0.023612,              0.0303,           0.0016528,             0.86863,             0.86558,             0.89805,             0.65773,            0.019272,            0.015574,          0.00072034,            0.005875,            0.005875,            0.005875
                  52,            0.023539,            0.030208,           0.0015888,             0.86847,             0.86813,             0.90214,             0.65408,            0.019049,            0.015434,          0.00073916,           0.0057925,           0.0057925,           0.0057925
                  53,            0.023071,            0.030112,           0.0015949,             0.86217,             0.87522,             0.89389,             0.65077,            0.018961,            0.015536,          0.00074925,             0.00571,             0.00571,             0.00571
                  54,             0.02323,            0.029341,           0.0015413,             0.85857,             0.88637,              0.9112,             0.65865,            0.018774,             0.01544,           0.0006943,           0.0056275,           0.0056275,           0.0056275
                  55,            0.023519,            0.030119,           0.0015413,             0.87019,             0.85948,             0.89899,             0.65405,            0.018895,            0.015384,          0.00068319,            0.005545,            0.005545,            0.005545
                  56,            0.022803,              0.0295,           0.0015199,             0.86049,             0.85716,              0.8926,             0.64618,            0.019063,            0.015464,          0.00064028,           0.0054625,           0.0054625,           0.0054625
                  57,            0.023062,            0.030046,           0.0015451,             0.88404,             0.85515,             0.90086,             0.65059,            0.018909,              0.0154,          0.00057202,             0.00538,             0.00538,             0.00538
                  58,            0.022786,            0.029596,           0.0014695,             0.88177,             0.85563,             0.89838,             0.65458,            0.018659,             0.01537,          0.00057515,           0.0052975,           0.0052975,           0.0052975
                  59,            0.023288,            0.029256,           0.0015032,             0.88753,             0.85883,              0.9007,             0.65321,            0.018976,            0.015387,          0.00058125,            0.005215,            0.005215,            0.005215
                  60,            0.022958,             0.02952,           0.0014818,             0.88498,             0.85315,             0.89036,             0.65181,            0.019013,            0.015488,          0.00059463,           0.0051325,           0.0051325,           0.0051325
                  61,            0.022552,            0.029433,           0.0015274,             0.87921,              0.8525,             0.89567,             0.65707,             0.01894,            0.015398,          0.00058619,             0.00505,             0.00505,             0.00505
                  62,            0.022678,            0.029499,           0.0015678,             0.86626,             0.86623,             0.90043,              0.6635,            0.018822,            0.015389,           0.0005893,           0.0049675,           0.0049675,           0.0049675
                  63,             0.02247,            0.028755,           0.0015059,             0.88899,             0.85209,             0.89645,             0.66474,            0.018652,            0.015448,          0.00066817,            0.004885,            0.004885,            0.004885
                  64,            0.022863,            0.029109,            0.001407,             0.87226,             0.86047,             0.89725,             0.66638,            0.018438,            0.015369,          0.00072073,           0.0048025,           0.0048025,           0.0048025
                  65,            0.022423,            0.028621,            0.001446,             0.90375,             0.82651,             0.89773,             0.66332,             0.01859,             0.01546,          0.00075749,             0.00472,             0.00472,             0.00472
                  66,              0.0221,            0.028174,           0.0013733,             0.87193,             0.85032,             0.89617,             0.66312,            0.018692,            0.015677,          0.00073884,           0.0046375,           0.0046375,           0.0046375
                  67,            0.022231,            0.028813,           0.0013961,             0.87798,              0.8442,             0.90067,             0.66304,            0.018622,            0.015563,          0.00066989,            0.004555,            0.004555,            0.004555
